iter	Passed	Remaining
563	26350	20370
564	26411	20334
565	26466	20294
566	26509	20244
567	26559	20200
568	26611	20157
569	26659	20111
570	26698	20058
571	26744	20011
572	26791	19965
573	26836	19917
574	26884	19871
575	26935	19827
576	26980	19779
577	27028	19733
578	27078	19689
579	27126	19643
580	27177	19599
581	27224	19552
582	27277	19510
583	27323	19463
584	27373	19419
585	27422	19373
586	27478	19333
587	27529	19289
588	27576	19242
589	27620	19193
590	27659	19141
591	27709	19096
592	27752	19047
593	27797	18999
594	27847	18955
595	27895	18909
596	27933	18856
597	27980	18809
598	28024	18761
599	28065	18710
600	28104	18658
601	28144	18607
602	28192	18561
603	28236	18512
604	28287	18468
605	28335	18422
606	28395	18384
607	28447	18341
608	28493	18294
609	28537	18245
610	28581	18196
611	28635	18154
612	28687	18111
613	28743	18069
614	28797	18027
615	28842	17979
616	28887	17932
617	28931	17882
618	28970	17831
619	29017	17785
620	29067	17739
621	29117	17695
622	29164	17648
623	29211	17601
624	29245	17547
625	29294	17501
626	29342	17455
627	29397	17414
628	29447	17368
629	29498	17324
630	29551	17281
631	29595	17232
632	29644	17187
633	29691	17140
634	29733	17090
635	29777	17042
636	29820	16993
637	29860	16943
638	29906	16895
639	29949	16846
640	29993	16798
641	30033	16747
642	30071	16696
643	30118	16649
644	30161	16600
645	30206	16552
646	30265	16512
647	30311	16465
648	30355	16417
649	30400	16369
650	30446	16322
651	30499	16278
652	30550	16234
653	30598	16188
654	30657	16147
655	30708	16103
656	30776	16067
657	30820	16019
658	30887	15982
659	30941	15939
660	30996	15896
661	31060	15858
662	31108	15812
663	31160	15767
664	31207	15721
665	31257	15675
666	31315	15634
667	31380	15596
668	31445	15558
669	31501	15515
670	31550	15469
671	31616	15431
672	31668	15387
673	31727	15346
674	31812	15316
675	31859	15270
676	31914	15226
677	31963	15180
678	32016	15135
679	32069	15091
680	32130	15050
681	32186	15007
682	32255	14970
683	32310	14927
684	32361	14881
685	32411	14835
686	32475	14796
687	32527	14750
688	32583	14707
689	32636	14662
690	32684	14615
691	32737	14570
692	32788	14525
693	32835	14478
694	32884	14431
695	32928	14382
696	32985	14339
697	33039	14294
698	33089	14248
699	33132	14199
700	33180	14152
701	33224	14103
702	33267	14054
703	33313	14007
704	33358	13958
705	33411	13913
706	33461	13867
707	33506	13819
708	33550	13770
709	33602	13725
710	33657	13680
711	33706	13634
712	33767	13592
713	33824	13548
714	33880	13504
715	33942	13463
716	34000	13419
717	34059	13377
718	34111	13331
719	34167	13287
720	34232	13246
721	34302	13207
722	34363	13165
723	34424	13123
724	34482	13079
725	34538	13035
726	34603	12994
727	34664	12951
728	34723	12908
729	34786	12866
730	34845	12822
731	34903	12779
732	34962	12735
733	35028	12694
734	35094	12653
735	35157	12610
736	35214	12566
737	35273	12522
738	35328	12477
739	35384	12432
740	35438	12386
741	35497	12342
742	35559	12299
743	35623	12257
744	35692	12216
745	35756	12174
746	35810	12128
